fold,model,store_nbr,item_nbr,family,wmape,bias,sigma_error
1,seasonal_naive,3,100041,CLEANING,3.75,0.4666666666666667,1.5976172734359602
1,seasonal_naive,3,100042,CLEANING,1.5344827586206897,0.4666666666666667,7.317949231333937
1,seasonal_naive,3,100043,CLEANING,3.5714285714285716,1.1333333333333333,2.0998866182543785
1,seasonal_naive,3,100044,CLEANING,1.1185185185185185,5.0,11.680264184879185
1,seasonal_naive,3,100045,CLEANING,0.9060402684563759,-2.8666666666666667,11.179488019625603
1,seasonal_naive,3,100046,CLEANING,2.08,2.1333333333333333,4.172472146045293
1,seasonal_naive,3,100047,DAIRY,0.8283430196915079,-2.2372,6.2566958783598965
1,seasonal_naive,3,100048,DAIRY,5.8,1.2666666666666666,2.840187787218772
1,seasonal_naive,3,100049,DAIRY,2.283420530398701,1.819,5.10307897254197
1,seasonal_naive,3,100050,DAIRY,1.0634920634920635,1.5157333333333336,10.403574711653317
1,seasonal_naive,3,100051,DAIRY,1.0995836352694088,-2.846333333333333,6.931142677042784
1,seasonal_naive,3,100052,DAIRY,1.1265708577688984,2.281866666666667,18.750937492245427
1,seasonal_naive,3,100053,BREAD/BAKERY,1.8572347611644244,0.5796,5.571231420687633
1,seasonal_naive,3,100054,BREAD/BAKERY,0.6286430976897599,-0.13306666666666658,7.974476798481755
1,seasonal_naive,3,100055,BREAD/BAKERY,1.0442575791104227,-0.21266666666666664,4.634788432013247
1,seasonal_naive,3,100056,BREAD/BAKERY,1.2297476204412112,2.682866666666667,6.497298591026303
1,seasonal_naive,3,100057,BREAD/BAKERY,1.3107640912092609,-0.6495333333333334,3.611466320063414
1,seasonal_naive,3,100058,DELI,1.8607395187031524,0.8078,4.539249406171528
1,seasonal_naive,3,100059,DELI,0.95097127505683,-0.5141333333333333,3.7086941650025294
1,seasonal_naive,3,100060,EGGS,0.8823529411764706,-0.8666666666666667,1.8847761013926698
1,seasonal_naive,4,100001,GROCERY I,1.3333333333333333,-1.6,8.966604708583956
1,seasonal_naive,4,100002,GROCERY I,0.336,-1.8666666666666667,48.24027165682019
1,seasonal_naive,4,100003,GROCERY I,1.5133689839572193,5.4,23.760110629853077
1,seasonal_naive,4,100004,GROCERY I,0.9910112359550561,-6.066666666666666,36.712136309141044
1,seasonal_naive,4,100005,GROCERY I,1.608695652173913,0.4,7.944449994448056
1,seasonal_naive,4,100006,GROCERY I,0.9202898550724637,3.0,11.92236793354647
1,seasonal_naive,4,100007,GROCERY I,1.469387755102041,-0.8,6.2472851246418575
1,seasonal_naive,4,100008,GROCERY I,1.619047619047619,0.6666666666666666,3.309438162646486
1,seasonal_naive,4,100009,GROCERY I,4.08,4.4,6.853570498027183
1,seasonal_naive,4,100010,GROCERY I,1.0769230769230769,0.0,3.484660262185848
1,seasonal_naive,4,100011,GROCERY I,1.0,-1.1333333333333333,1.6417180315870612
1,seasonal_naive,4,100012,GROCERY I,0.6923076923076923,-2.0,4.375255094603872
1,seasonal_naive,4,100013,GROCERY I,0.9246031746031746,8.266666666666667,41.124317913000375
1,seasonal_naive,4,100014,GROCERY I,0.945054945054945,-2.4,15.518652371535728
1,seasonal_naive,4,100015,GROCERY I,0.791578947368421,-7.6,34.80517202945562
1,seasonal_naive,4,100016,GROCERY I,0.9125475285171103,-0.9333333333333333,21.05593457798492
1,seasonal_naive,4,100017,GROCERY I,0.8233890214797136,-15.4,24.610682930095912
1,seasonal_naive,4,100018,GROCERY I,0.8241758241758241,-1.1333333333333333,8.078778785600374
1,seasonal_naive,4,100019,GROCERY I,1.1012658227848102,-3.1333333333333333,22.528923208897066
1,seasonal_naive,4,100020,BEVERAGES,1.4830188679245282,4.066666666666666,32.56743918760109
1,seasonal_naive,4,100021,BEVERAGES,0.8307692307692308,-5.466666666666667,10.294705065272748
1,seasonal_naive,4,100022,BEVERAGES,1.8388888888888888,10.2,24.50131191822768
1,seasonal_naive,4,100023,BEVERAGES,1.275229357798165,-4.666666666666667,24.203502304615412
1,seasonal_naive,4,100024,BEVERAGES,1.2093023255813953,-3.2,8.760300060092527
1,seasonal_naive,4,100025,BEVERAGES,1.3275862068965518,1.0,7.201190377787748
1,seasonal_naive,4,100026,BEVERAGES,0.48148148148148145,1.0666666666666667,2.7637104114026196
1,seasonal_naive,4,100027,BEVERAGES,1.1728395061728396,-8.933333333333334,15.745596512162043
1,seasonal_naive,4,100028,BEVERAGES,1.1508771929824562,-5.6,25.238292901292446
1,seasonal_naive,4,100029,BEVERAGES,0.953125,-1.5333333333333334,7.029190836043918
1,seasonal_naive,4,100030,BEVERAGES,1.7130434782608697,3.933333333333333,17.97008095484852
1,seasonal_naive,4,100031,BEVERAGES,1.079847908745247,-5.333333333333333,23.801760639158807
1,seasonal_naive,4,100032,BEVERAGES,2.0314465408805034,13.133333333333333,23.108027877362282
1,seasonal_naive,4,100033,PRODUCE,1.175344426552156,5.569999999999999,25.248661916454672
1,seasonal_naive,4,100034,PRODUCE,0.7576587998435561,-7.723666666666666,22.014069104184475
1,seasonal_naive,4,100035,PRODUCE,2.3931457230426303,0.9096,3.3011270110156534
1,seasonal_naive,4,100036,PRODUCE,0.6710913190035462,-12.443933333333332,26.158217251581814
1,seasonal_naive,4,100037,PRODUCE,1.0,-1.6294,6.413703608012189
1,seasonal_naive,4,100038,PRODUCE,1.0330078749205507,2.6134000000000004,22.27754338149262
1,seasonal_naive,4,100039,PRODUCE,0.8510462829540614,-3.622866666666667,7.879148366476695
1,seasonal_naive,4,100040,PRODUCE,1.6537187500000001,-1.4774666666666671,8.189518430518946
1,seasonal_naive,4,100041,CLEANING,1.9090909090909092,-0.06666666666666667,2.433887738538802
1,seasonal_naive,4,100042,CLEANING,1.2028985507246377,-1.4,8.024961059095553
1,seasonal_naive,4,100043,CLEANING,1.0625,-0.7333333333333333,1.751190071541826
1,seasonal_naive,4,100044,CLEANING,0.6764705882352942,2.2,9.622889378975527
1,seasonal_naive,4,100045,CLEANING,0.6875,-1.9333333333333333,21.73038250490598
1,seasonal_naive,4,100046,CLEANING,1.048780487804878,-2.066666666666667,3.8631346758570975
1,seasonal_naive,4,100047,DAIRY,1.4291253359975262,4.215599999999999,11.20908733891518
1,seasonal_naive,4,100048,DAIRY,1.2320948494284665,-0.9135333333333333,6.850631158270503
1,seasonal_naive,4,100049,DAIRY,1.6509180656884812,-0.5914,6.462741189751783
1,seasonal_naive,4,100050,DAIRY,1.2495571824998526,5.646,13.287592424083883
1,seasonal_naive,4,100051,DAIRY,1.0724637681159421,-0.4,6.489552042651765
1,seasonal_naive,4,100052,DAIRY,0.7995064614209629,-2.8242,24.525001448085
1,seasonal_naive,4,100053,BREAD/BAKERY,1.2918348743325954,0.1498666666666665,4.137290380821498
1,seasonal_naive,4,100054,BREAD/BAKERY,0.722340117489796,-0.9404666666666667,15.76119621487562
1,seasonal_naive,4,100055,BREAD/BAKERY,1.0294495872149525,-1.3912666666666667,9.093266020732568
1,seasonal_naive,4,100056,BREAD/BAKERY,1.214231828112906,6.986066666666667,8.22124277594041
1,seasonal_naive,4,100057,BREAD/BAKERY,2.5,0.8,3.7454734585325022
1,seasonal_naive,4,100058,DELI,2.7763558166369453,2.7600666666666664,5.48567798214674
1,seasonal_naive,4,100059,DELI,1.3752224991100035,1.6114,4.26941678519611
1,seasonal_naive,4,100060,EGGS,2.4970726557251175,1.6387333333333334,2.160079709728544
1,seasonal_naive,5,100001,GROCERY I,1.3370786516853932,-0.2,9.267454574246063
1,seasonal_naive,5,100002,GROCERY I,0.9844271412680756,-8.866666666666667,77.07312545022853
1,seasonal_naive,5,100003,GROCERY I,1.7096774193548387,3.933333333333333,22.24046076946463
1,seasonal_naive,5,100004,GROCERY I,0.8321995464852607,-5.133333333333334,30.011585064691904
1,seasonal_naive,5,100005,GROCERY I,1.7941176470588236,1.7333333333333334,13.24206860548536
1,seasonal_naive,5,100006,GROCERY I,0.6039603960396039,-0.8666666666666667,6.759825300644839
1,seasonal_naive,5,100007,GROCERY I,1.0,-1.2,8.273883178843104
1,seasonal_naive,5,100008,GROCERY I,1.0,-0.5333333333333333,1.1872336794093272
1,seasonal_naive,5,100009,GROCERY I,3.5,4.0,5.0709255283711
1,seasonal_naive,5,100010,GROCERY I,1.0666666666666667,-1.6,4.672105673951674
1,seasonal_naive,5,100011,GROCERY I,1.0416666666666667,-0.3333333333333333,2.870208222079931
1,seasonal_naive,5,100012,GROCERY I,1.4782608695652173,0.4,6.445374864416898
1,seasonal_naive,5,100013,GROCERY I,0.396875,7.066666666666666,21.7697912145204
1,seasonal_naive,5,100014,GROCERY I,1.125,2.933333333333333,14.689484415082525
1,seasonal_naive,5,100015,GROCERY I,0.9096267190569745,-11.8,41.33521501093227
1,seasonal_naive,5,100016,GROCERY I,0.8383233532934131,-14.133333333333333,18.302484869026728
1,seasonal_naive,5,100017,GROCERY I,1.0443213296398892,-2.3333333333333335,32.585418883444234
1,seasonal_naive,5,100018,GROCERY I,1.2258064516129032,0.6666666666666666,7.32575365861197
1,seasonal_naive,5,100019,GROCERY I,1.3777777777777778,13.466666666666667,19.653668020668984
1,seasonal_naive,5,100020,BEVERAGES,1.2058823529411764,-6.533333333333333,24.506170262861982
1,seasonal_naive,5,100021,BEVERAGES,1.103896103896104,2.8666666666666667,9.73848526404878
1,seasonal_naive,5,100022,BEVERAGES,1.1294117647058823,10.533333333333333,30.69868928487866
1,seasonal_naive,5,100023,BEVERAGES,1.0975609756097562,2.6,22.484280222921463
1,seasonal_naive,5,100024,BEVERAGES,1.7142857142857142,0.4,7.917431040793111
1,seasonal_naive,5,100025,BEVERAGES,3.933333333333333,2.7333333333333334,7.035285217760406
1,seasonal_naive,5,100026,BEVERAGES,1.72,2.8,6.940563995197261
1,seasonal_naive,5,100027,BEVERAGES,1.7321428571428572,0.8,19.921990720952422
1,seasonal_naive,5,100028,BEVERAGES,0.9903846153846154,-5.333333333333333,16.016360682870797
1,seasonal_naive,5,100029,BEVERAGES,2.2439024390243905,4.533333333333333,7.434155410446211
1,seasonal_naive,5,100030,BEVERAGES,1.3109243697478992,1.2,13.949910393977447
1,seasonal_naive,5,100031,BEVERAGES,1.553921568627451,6.333333333333333,30.9969276511322
1,seasonal_naive,5,100032,BEVERAGES,1.2487562189054726,0.4666666666666667,21.433840622005285
1,seasonal_naive,5,100033,PRODUCE,0.6228584151420075,-8.676866666666665,20.872378469665414
1,seasonal_naive,5,100034,PRODUCE,1.039899267370186,-7.3928666666666665,25.71674073680041
1,seasonal_naive,5,100035,PRODUCE,1.0,-0.13333333333333333,2.5597618936887376
1,seasonal_naive,5,100036,PRODUCE,0.8684863523573201,-6.4,25.010854786329418
1,seasonal_naive,5,100037,PRODUCE,1.0,-0.9333333333333333,2.1536237457121516
1,seasonal_naive,5,100038,PRODUCE,0.8444969887856659,-0.349666666666666,15.095781656129102
1,seasonal_naive,5,100039,PRODUCE,1.152074074074074,-2.028266666666667,9.523106871984483
1,seasonal_naive,5,100040,PRODUCE,1.0,-4.066666666666666,5.147352532636373
1,seasonal_naive,5,100041,CLEANING,1.2857142857142858,-0.26666666666666666,1.9073791542572853
1,seasonal_naive,5,100042,CLEANING,2.3,1.0,5.331845030434721
1,seasonal_naive,5,100043,CLEANING,2.75,0.4,2.164651077128664
1,seasonal_naive,5,100044,CLEANING,0.6,-3.8,11.289691884951639
1,seasonal_naive,5,100045,CLEANING,0.6259259259259259,-7.933333333333334,13.312006753661288
1,seasonal_naive,5,100046,CLEANING,1.9166666666666667,0.6666666666666666,5.219012860502955
1,seasonal_naive,5,100047,DAIRY,1.2071764705882353,-0.2607999999999999,7.532753653213412
1,seasonal_naive,5,100048,DAIRY,1.1515479541026197,-1.2290666666666668,5.018389645901884
1,seasonal_naive,5,100049,DAIRY,1.3060162800660995,0.08813333333333327,4.497008304999903
1,seasonal_naive,5,100050,DAIRY,1.1185110086908963,4.506600000000001,12.333590826913072
1,seasonal_naive,5,100051,DAIRY,2.3689677419354838,3.295866666666667,6.509854429650335
1,seasonal_naive,5,100052,DAIRY,1.0643863179074446,-6.733333333333333,41.335675816878755
1,seasonal_naive,5,100053,BREAD/BAKERY,1.0504019555958772,-1.5787333333333333,3.7455397945264117
1,seasonal_naive,5,100054,BREAD/BAKERY,0.6906419180201082,-1.699,11.686388223667983
1,seasonal_naive,5,100055,BREAD/BAKERY,2.2294681015395703,3.1064666666666665,7.5948799376070895
1,seasonal_naive,5,100056,BREAD/BAKERY,0.8108707482993198,0.4798666666666667,12.126457266576056
1,seasonal_naive,5,100057,BREAD/BAKERY,1.3217197354253192,-0.6425333333333333,3.4106792131829247
1,seasonal_naive,5,100058,DELI,1.0385497581002678,-0.25873333333333337,4.756739706783969
1,seasonal_naive,5,100059,DELI,1.9018070826540876,1.0112666666666665,4.77772343376255
